bairro_group,total_ocorrencias,menor_preco,maior_preco,preco_medio,media_numero_reviews,media_reviews_por_mes
Bronx,1091,0,2500,"87,4967919340055","26,0045829514207","1,83783105022831"
Brooklyn,20103,0,10000,"124,381982788639","24,2036014525195","1,28327678462848"
Manhattan,21661,0,10000,"196,875813674346","20,9855962328609","1,27213083213083"
Queens,5666,10,10000,"99,5176491351924","27,7003176844335","1,94120026235243"
Staten Island,373,13,5000,"114,812332439678","30,941018766756","1,8725796178344"
